RESULTAT,SPECID,EXTID,ANALYSIS,VALUEPPM
2023-06-13 12:00:00,S1pyWI,10000,ID01-FD,677
2023-06-13 12:00:00,eaVuYv,10000,ID02-SV,822
2023-06-13 12:00:00,hmayJ8,10000,ID03-MB,176
2023-06-13 12:00:00,26J8HA,10001,ID01-FD,55
2023-06-13 12:00:00,gWuw1O,10001,ID02-SV,709
2023-06-13 12:00:00,Htqnsx,10001,ID03-MB,161
2023-06-13 12:00:00,rWzkLR,10002,ID01-FD,761
2023-06-13 12:00:00,5H0LIl,10002,ID02-SV,452
2023-06-13 12:00:00,GuhR5e,10002,ID03-MB,1108
2023-06-13 12:00:00,B4kvRf,10003,ID01-FD,1041
2023-06-13 12:00:00,ZUPQuI,10003,ID02-SV,1007
2023-06-13 12:00:00,8RegBo,10003,ID03-MB,933
2023-06-13 12:00:00,G8ZsE2,10005,ID01-FD,577
2023-06-13 12:00:00,VtgIW8,10005,ID02-SV,757
2023-06-13 12:00:00,qKlA6F,10005,ID03-MB,189
2023-06-13 12:00:00,okJ95i,10006,ID01-FD,1015
2023-06-13 12:00:00,vSdlH4,10006,ID02-SV,413
2023-06-13 12:00:00,D9wi06,10006,ID03-MB,978
2023-06-13 12:00:00,CgX1wc,10008,ID01-FD,536
2023-06-13 12:00:00,2XwAFa,10008,ID02-SV,924
2023-06-13 12:00:00,cWsrXC,10008,ID03-MB,959
2023-06-13 12:00:00,hMEBto,10011,ID01-FD,804
2023-06-13 12:00:00,peIAZO,10011,ID02-SV,475
2023-06-13 12:00:00,HNdvQD,10011,ID03-MB,573
2023-06-13 12:00:00,6rWnAL,10013,ID01-FD,328
2023-06-13 12:00:00,7leKaq,10013,ID02-SV,940
2023-06-13 12:00:00,Kfdl5B,10013,ID03-MB,132
2023-06-13 12:00:00,OL5EMg,10015,ID01-FD,872
2023-06-13 12:00:00,mA3BHe,10015,ID02-SV,974
2023-06-13 12:00:00,WX1coG,10015,ID03-MB,974
2023-06-13 12:00:00,MdO5Z0,10018,ID01-FD,1058
2023-06-13 12:00:00,O7A9WL,10018,ID02-SV,211
2023-06-13 12:00:00,LrpYiW,10018,ID03-MB,525
2023-06-13 12:00:00,PUt9Z8,10019,ID01-FD,129
2023-06-13 12:00:00,cIDKXs,10019,ID02-SV,249
2023-06-13 12:00:00,jf8T7O,10019,ID03-MB,128
2023-06-13 12:00:00,5wYRfd,10023,ID01-FD,614
2023-06-13 12:00:00,uGOiMD,10023,ID02-SV,511
2023-06-13 12:00:00,KLPjXJ,10023,ID03-MB,528
2023-06-13 12:00:00,junZaP,10029,ID01-FD,599
2023-06-13 12:00:00,UqjwJk,10029,ID02-SV,885
2023-06-13 12:00:00,jkbq0H,10029,ID03-MB,573
2023-06-13 12:00:00,pYuoFy,10030,ID01-FD,1183
2023-06-13 12:00:00,AQRUHL,10030,ID02-SV,432
2023-06-13 12:00:00,XehN9W,10030,ID03-MB,62
2023-06-13 12:00:00,Z4nRS8,10032,ID01-FD,626
2023-06-13 12:00:00,XTNdVb,10032,ID02-SV,875
2023-06-13 12:00:00,2nN9em,10032,ID03-MB,74
2023-06-13 12:00:00,FEGTvR,10036,ID01-FD,850
2023-06-13 12:00:00,MVHYwI,10036,ID02-SV,1014
2023-06-13 12:00:00,PwSoVh,10036,ID03-MB,722
2023-06-13 12:00:00,xN42Od,10037,ID01-FD,1073
2023-06-13 12:00:00,txIscC,10037,ID02-SV,868
2023-06-13 12:00:00,aBWpsI,10037,ID03-MB,986
2023-06-13 12:00:00,rLjdBW,10042,ID01-FD,701
2023-06-13 12:00:00,fbCA64,10042,ID02-SV,287
2023-06-13 12:00:00,hprJMG,10042,ID03-MB,327
2023-06-13 12:00:00,p0QYD8,10044,ID01-FD,324
2023-06-13 12:00:00,TUy7Rb,10044,ID02-SV,522
2023-06-13 12:00:00,9i63n8,10044,ID03-MB,88
2023-06-13 12:00:00,8eBVdT,10047,ID01-FD,467
2023-06-13 12:00:00,K4pXid,10047,ID02-SV,112
2023-06-13 12:00:00,aCM4Lg,10047,ID03-MB,75
2023-06-13 12:00:00,2nkay3,10048,ID01-FD,848
2023-06-13 12:00:00,pPDALI,10048,ID02-SV,318
2023-06-13 12:00:00,Kp2xqB,10048,ID03-MB,1046
2023-06-13 12:00:00,Qgcw9o,10049,ID01-FD,1034
2023-06-13 12:00:00,wr6qaG,10049,ID02-SV,630
2023-06-13 12:00:00,0KGpI6,10049,ID03-MB,902
2023-06-13 12:00:00,ZjLH1K,10054,ID01-FD,1091
2023-06-13 12:00:00,OoIx7H,10054,ID02-SV,440
2023-06-13 12:00:00,FbMivJ,10054,ID03-MB,983
2023-06-13 12:00:00,Ph3Xag,10056,ID01-FD,280
2023-06-13 12:00:00,2BWemJ,10056,ID02-SV,772
2023-06-13 12:00:00,oV9HU4,10056,ID03-MB,698
2023-06-13 12:00:00,yKAUVr,10057,ID01-FD,363
2023-06-13 12:00:00,3DYEzd,10057,ID02-SV,579
2023-06-13 12:00:00,y2tPqe,10057,ID03-MB,658
2023-06-13 12:00:00,UqmKZG,10061,ID01-FD,530
2023-06-13 12:00:00,wWrz09,10061,ID02-SV,1187
2023-06-13 12:00:00,c1o8Mb,10061,ID03-MB,257
2023-06-13 12:00:00,S8fT3l,10062,ID01-FD,155
2023-06-13 12:00:00,vbs3rz,10062,ID02-SV,226
2023-06-13 12:00:00,VhfNqS,10062,ID03-MB,1084
2023-06-13 12:00:00,8vJEpS,10066,ID01-FD,1050
2023-06-13 12:00:00,RJqguv,10066,ID02-SV,54
2023-06-13 12:00:00,4LorE1,10066,ID03-MB,1037
2023-06-13 12:00:00,blcIua,10067,ID01-FD,989
2023-06-13 12:00:00,tNw0di,10067,ID02-SV,377
