sample_id,sample_type,collected_at,volume_ml
10000,2,2023-06-05 00:00:00,182
10001,2,2023-06-05 00:11:00,156
10002,2,2023-06-05 00:22:00,156
10003,3,2023-06-05 00:34:00,150
10004,1,2023-06-05 00:46:00,194
10005,3,2023-06-05 00:54:00,154
10006,3,2023-06-05 01:05:00,173
10007,1,2023-06-05 01:13:00,182
10008,3,2023-06-05 01:21:00,177
10009,1,2023-06-05 01:33:00,180
10010,1,2023-06-05 01:43:00,151
10011,2,2023-06-05 01:53:00,155
10012,3,2023-06-05 02:04:00,197
10013,1,2023-06-05 02:13:00,153
10014,1,2023-06-05 02:22:00,200
10015,3,2023-06-05 02:33:00,150
10016,2,2023-06-05 02:45:00,174
10017,3,2023-06-05 02:57:00,187
10018,2,2023-06-05 03:05:00,186
10019,2,2023-06-05 03:14:00,151
10020,2,2023-06-05 03:24:00,185
10021,2,2023-06-05 03:33:00,198
10022,1,2023-06-05 03:43:00,190
10023,2,2023-06-05 03:55:00,187
10024,3,2023-06-05 04:03:00,194
10025,1,2023-06-05 04:11:00,174
10026,2,2023-06-05 04:19:00,173
10027,3,2023-06-05 04:28:00,188
10028,2,2023-06-05 04:36:00,180
10029,3,2023-06-05 04:48:00,192
10030,3,2023-06-05 05:00:00,159
10031,3,2023-06-05 05:08:00,200
10032,3,2023-06-05 05:17:00,150
10033,2,2023-06-05 05:26:00,188
10034,3,2023-06-05 05:36:00,188
10035,1,2023-06-05 05:48:00,200
10036,1,2023-06-05 06:00:00,192
10037,3,2023-06-05 06:10:00,195
10038,3,2023-06-05 06:21:00,155
10039,2,2023-06-05 06:29:00,171
10040,2,2023-06-05 06:40:00,161
10041,3,2023-06-05 06:50:00,195
10042,2,2023-06-05 07:01:00,175
10043,3,2023-06-05 07:11:00,154
10044,2,2023-06-05 07:19:00,156
10045,1,2023-06-05 07:30:00,166
10046,1,2023-06-05 07:41:00,175
10047,3,2023-06-05 07:50:00,197
10048,2,2023-06-05 08:00:00,176
10049,1,2023-06-05 08:09:00,156
10050,3,2023-06-05 08:18:00,193
10051,1,2023-06-05 08:28:00,176
10052,1,2023-06-05 08:39:00,185
10053,3,2023-06-05 08:47:00,178
10054,2,2023-06-05 08:59:00,156
10055,2,2023-06-05 09:07:00,177
10056,1,2023-06-05 09:16:00,178
10057,1,2023-06-05 09:24:00,165
10058,3,2023-06-05 09:35:00,161
10059,2,2023-06-05 09:45:00,182
10060,3,2023-06-05 09:53:00,199
10061,1,2023-06-05 10:02:00,168
10062,1,2023-06-05 10:12:00,163
10063,3,2023-06-05 10:23:00,197
10064,1,2023-06-05 10:33:00,164
10065,3,2023-06-05 10:44:00,154
10066,1,2023-06-05 10:55:00,192
10067,3,2023-06-05 11:04:00,178
10068,3,2023-06-05 11:15:00,178
10069,2,2023-06-05 11:27:00,155
10070,2,2023-06-05 11:36:00,192
10071,3,2023-06-05 11:44:00,197
10072,3,2023-06-05 11:52:00,158
10073,3,2023-06-05 12:01:00,158
10074,1,2023-06-05 12:09:00,194
10075,2,2023-06-05 12:21:00,195
10076,1,2023-06-05 12:29:00,195
10077,1,2023-06-05 12:39:00,164
10078,1,2023-06-05 12:49:00,164
10079,3,2023-06-05 12:58:00,189
10080,3,2023-06-05 13:08:00,155
10081,2,2023-06-05 13:16:00,200
10082,2,2023-06-05 13:28:00,191
10083,1,2023-06-05 13:37:00,178
10084,3,2023-06-05 13:48:00,197
10085,2,2023-06-05 13:56:00,169
10086,3,2023-06-05 14:07:00,195
10087,2,2023-06-05 14:17:00,177
10088,2,2023-06-05 14:26:00,173
10089,1,2023-06-05 14:38:00,183
10090,3,2023-06-05 14:47:00,183
10091,1,2023-06-05 14:59:00,196
10092,1,2023-06-05 15:07:00,183
10093,1,2023-06-05 15:19:00,171
10094,3,2023-06-05 15:31:00,153
10095,2,2023-06-05 15:39:00,169
10096,1,2023-06-05 15:51:00,183
10097,1,2023-06-05 16:03:00,171
10098,2,2023-06-05 16:13:00,175
10099,1,2023-06-05 16:24:00,184
10100,3,2023-06-05 16:36:00,158
10101,2,2023-06-05 16:46:00,162
10102,3,2023-06-05 16:55:00,195
10103,2,2023-06-05 17:07:00,171
10104,1,2023-06-05 17:15:00,170
10105,1,2023-06-05 17:24:00,152
10106,3,2023-06-05 17:36:00,163
10107,2,2023-06-05 17:47:00,177
10108,2,2023-06-05 17:59:00,164
10109,3,2023-06-05 18:11:00,192
10110,1,2023-06-05 18:23:00,195
10111,2,2023-06-05 18:34:00,189
10112,1,2023-06-05 18:43:00,156
10113,2,2023-06-05 18:54:00,152
10114,2,2023-06-05 19:06:00,190
10115,2,2023-06-05 19:16:00,185
10116,2,2023-06-05 19:25:00,175
10117,2,2023-06-05 19:37:00,180
10118,3,2023-06-05 19:45:00,167
10119,2,2023-06-05 19:53:00,164
10120,1,2023-06-05 20:05:00,178
10121,1,2023-06-05 20:17:00,168
10122,1,2023-06-05 20:28:00,181
10123,2,2023-06-05 20:36:00,180
10124,1,2023-06-05 20:44:00,197
10125,2,2023-06-05 20:53:00,187
10126,2,2023-06-05 21:05:00,179
10127,2,2023-06-05 21:17:00,177
10128,2,2023-06-05 21:25:00,157
10129,3,2023-06-05 21:34:00,164
10130,1,2023-06-05 21:43:00,185
