internal_specimen_id,external_specimen_id,result_time,test_type,result_value
6342,10004,2023-06-09 13:00:00,FRDST,1178
6342,10004,2023-06-09 13:00:00,SNKVM,320
6342,10004,2023-06-09 13:00:00,MGBRY,581
6343,10007,2023-06-09 13:00:00,FRDST,624
6343,10007,2023-06-09 13:00:00,SNKVM,692
6343,10007,2023-06-09 13:00:00,MGBRY,577
6344,10009,2023-06-09 13:00:00,FRDST,111
6344,10009,2023-06-09 13:00:00,SNKVM,725
6344,10009,2023-06-09 13:00:00,MGBRY,25000
6345,10010,2023-06-09 13:00:00,FRDST,498
6345,10010,2023-06-09 13:00:00,SNKVM,588
6345,10010,2023-06-09 13:00:00,MGBRY,326
6346,10012,2023-06-09 13:00:00,FRDST,920
6346,10012,2023-06-09 13:00:00,SNKVM,709
6346,10012,2023-06-09 13:00:00,MGBRY,640
6347,10014,2023-06-09 13:00:00,FRDST,462
6347,10014,2023-06-09 13:00:00,SNKVM,1027
6347,10014,2023-06-09 13:00:00,MGBRY,924
6348,10016,2023-06-09 13:00:00,FRDST,301
6348,10016,2023-06-09 13:00:00,SNKVM,520
6348,10016,2023-06-09 13:00:00,MGBRY,1080
6349,10017,2023-06-09 13:00:00,FRDST,1045
6349,10017,2023-06-09 13:00:00,SNKVM,95
6349,10017,2023-06-09 13:00:00,MGBRY,735
6350,10020,2023-06-09 13:00:00,FRDST,553
6350,10020,2023-06-09 13:00:00,SNKVM,211
6350,10020,2023-06-09 13:00:00,MGBRY,1161
6351,10021,2023-06-09 13:00:00,FRDST,384
6351,10021,2023-06-09 13:00:00,SNKVM,917
6351,10021,2023-06-09 13:00:00,MGBRY,613
6352,10022,2023-06-09 13:00:00,FRDST,269
6352,10022,2023-06-09 13:00:00,SNKVM,191
6352,10022,2023-06-09 13:00:00,MGBRY,199
6353,10024,2023-06-09 13:00:00,FRDST,514
6353,10024,2023-06-09 13:00:00,SNKVM,183
6353,10024,2023-06-09 13:00:00,MGBRY,353
6354,10025,2023-06-09 13:00:00,FRDST,449
6354,10025,2023-06-09 13:00:00,SNKVM,918
6354,10025,2023-06-09 13:00:00,MGBRY,898
6355,10026,2023-06-09 13:00:00,FRDST,783
6355,10026,2023-06-09 13:00:00,SNKVM,198
6355,10026,2023-06-09 13:00:00,MGBRY,1105
6356,10027,2023-06-09 13:00:00,FRDST,492
6356,10027,2023-06-09 13:00:00,SNKVM,286
6356,10027,2023-06-09 13:00:00,MGBRY,547
6357,10028,2023-06-09 13:00:00,FRDST,890
6357,10028,2023-06-09 13:00:00,SNKVM,270
6357,10028,2023-06-09 13:00:00,MGBRY,305
6358,10031,2023-06-09 13:00:00,FRDST,860
6358,10031,2023-06-09 13:00:00,SNKVM,704
6358,10031,2023-06-09 13:00:00,MGBRY,356
6359,10033,2023-06-09 13:00:00,FRDST,883
6359,10033,2023-06-09 13:00:00,SNKVM,488
6359,10033,2023-06-09 13:00:00,MGBRY,741
6360,10034,2023-06-09 13:00:00,FRDST,1117
6360,10034,2023-06-09 13:00:00,SNKVM,639
6360,10034,2023-06-09 13:00:00,MGBRY,204
6361,10035,2023-06-09 13:00:00,FRDST,910
6361,10035,2023-06-09 13:00:00,SNKVM,161
6361,10035,2023-06-09 13:00:00,MGBRY,827
6362,10038,2023-06-09 13:00:00,FRDST,712
6362,10038,2023-06-09 13:00:00,SNKVM,855
6362,10038,2023-06-09 13:00:00,MGBRY,881
6363,10039,2023-06-09 13:00:00,FRDST,527
6363,10039,2023-06-09 13:00:00,SNKVM,605
6363,10039,2023-06-09 13:00:00,MGBRY,387
6364,10040,2023-06-09 13:00:00,FRDST,980
6364,10040,2023-06-09 13:00:00,SNKVM,121
